Código,Descripción,Referencia,Ud Medida,Grupo,Udad de Negocio,Proveedor,Ult Precio,Ult Costo,Precio Elite,Precio publico,%IVA,Margen,Codigo de barra,Diseño,Sub-Grupo,LINEA,UNIDAD REFERENCIADA,PRINCIPIO ACTIVO,categoria padre-hijo,descripcion (Notas Internas),nuevo iva,Unidad de Costo,Unidad de Medida,Nueva referencia producto,referencia producto - primera vez,referencia producto - segunda vez
37INSMG20P2720,"AGUJA DES ISAVET 20 * 1""",2720,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,19,0,37INSMG20P2720,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD,IVA Ventas 19%,Unidades,Unidades,2720,2720,2720
37INSMG20P2721,"AGUJA DES ISAVET 20 * 1/2""",2721,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,19,0,37INSMG20P2721,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD,IVA Ventas 19%,Unidades,Unidades,2721,2721,2721
37INSMG20P2722,"AGUJA DES ISAVET 21 * 1 1/2""",2722,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P2722,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD,sin iva,Unidades,Unidades,2722,2722,2722
37INSMG20P2723,"AGUJA DES ISAVET 23 * 1""",2723,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,19,0,37INSMG20P2723,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD,IVA Ventas 19%,Unidades,Unidades,2723,2723,2723
37INSMG20P2724,"AGUJA DURATEK ROUND 16 * 1 1/2""",2724,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P2724,CAJA,INSUMO,INSUMOS,CAJA,NO APLICA,INSUMOS MEDICOS / INSUMO,CAJA // CAJA,sin iva,Unidades,Unidades,2724,2724,2724
37INSMG20P2725,"AGUJA DURATEK ROUND 16 * 1""",2725,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P2725,CAJA,INSUMO,INSUMOS,CAJA,NO APLICA,INSUMOS MEDICOS / INSUMO,CAJA // CAJA,sin iva,Unidades,Unidades,2725,2725,2725
37INSMG20P2726,"AGUJA DURATEK ROUND 16 * 1/2""",2726,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P2726,CAJA,INSUMO,INSUMOS,CAJA,NO APLICA,INSUMOS MEDICOS / INSUMO,CAJA // CAJA,sin iva,Unidades,Unidades,2726,2726,2726
37INSMG20P2727,AGUJA DURATEK ROUND HUB 18* 1 1/2,2727,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P272,CAJA,INSUMO,INSUMOS,CAJA,NO APLICA,INSUMOS MEDICOS / INSUMO,CAJA // CAJA,sin iva,Unidades,Unidades,2727,2727,2727
37INSMG20P2728,AGUJA DURATEK SQUARE HUB 18 * 1/2,2728,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P2728,CAJA,INSUMO,INSUMOS,CAJA,NO APLICA,INSUMOS MEDICOS / INSUMO,CAJA // CAJA,sin iva,Unidades,Unidades,2728,2728,2728
37INSMG20P2729,AGUJA SUTURA CURVA GRANDE ISAVET,2729,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,19,0,37INSMG20P2729,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD,IVA Ventas 19%,Unidades,Unidades,2729,2729,2729
37INSMG20P2730,AGUJA SUTURA CURVA PEQUEÑA ISAVET,2730,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,19,0,37INSMG20P2730,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD,IVA Ventas 19%,Unidades,Unidades,2730,2730,2730
52FLETE,AJUSTE LOGISTICO,FLETE,UNIDAD,,,,1000,0.01,,,0,0,52FLETE,,,,,NO APLICA,sin valor, // ,sin iva,Unidades,Unidades,FLETE,FLETE,FLETE
20ERMAG14P1665,ALAPIEL CREMA * 35 GR,1665,UNIDAD,DERMATOLOGICOS,MASCOTAS,LABORATORIOS ERMA S.A.,16471,13292.31,,,0,19.3,20ERMAG14P166,GRAMOS,DERMATOLOGICOS,MASCOTAS,CREMA * 35GR,CLOTRIMAZOL- NEOMICINA- BETAMETASONA,DERMATOLOGICOS / DERMATOLOGICOS,GRAMOS // CREMA * 35GR,sin iva,Unidades,Unidades,1665,1665,1665
12CELLG08P2403,ALBENDACELLS 20% CO * 15 ML,2403,UNIDAD,ANTIPARASITARIOS,GANADERIA,CELLS FARMACEUTICA,0,0,,,0,20,12CELLG08P2403,MILILITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN * 15ML,ALBENDAZOL 20%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // SUSPENSIÓN * 15ML,sin iva,Unidades,Unidades,2403,2403,2403
12CELLG08P2404,ALBENDACELLS 20% CO * 250 ML,2404,UNIDAD,ANTIPARASITARIOS,GANADERIA,CELLS FARMACEUTICA,0,0,,,0,20,12CELLG08P2404,MILILITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN * 250ML,ALBENDAZOL 20%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // SUSPENSIÓN * 250ML,sin iva,Unidades,Unidades,2404,2404,2404
23LAVMG08P2324,ALBENDAVEM 25% COBALTO * LITRO,2324,UNIDAD,ANTIPARASITARIOS,GANADERIA,LABORATORIOS V.M. LTDA.,0,0,,,0,20,23LAVMG08P2324,LITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN * LITRO,ALBENDAZOL 25%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,LITROS // SUSPENSIÓN * LITRO,sin iva,Unidades,Unidades,2324,2324,2324
23LAVMG08P2325,ALBENDAVEM 25% COBALTO JGA * 12 ML,2325,UNIDAD,ANTIPARASITARIOS,GANADERIA,LABORATORIOS V.M. LTDA.,0,0,,,0,20,23LAVMG08P2325,MILILITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN * 12ML,ALBENDAZOL 25%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // SUSPENSIÓN * 12ML,sin iva,Unidades,Unidades,2325,2325,2325
22SERVG08P1081,ALBENDAZOL 25 % CO * 10 ML,1081,UNIDAD,ANTIPARASITARIOS,GANADERIA,LABORATORIOS SERVINSUMOS S.A,4166.148148,3374.58,,,0,19,7707007402792,MILILITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN * 10ML,ALBENDAZOL 25%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // SUSPENSIÓN * 10ML,sin iva,Unidades,Unidades,1081,1081,1081
22SERVG08P1082,ALBENDAZOL 25 % CO * 100 ML,1082,UNIDAD,ANTIPARASITARIOS,GANADERIA,LABORATORIOS SERVINSUMOS S.A,1.234567901,1,,,0,19,7707007402754,MILILITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN * 100ML,ALBENDAZOL 25%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // SUSPENSIÓN * 100ML,sin iva,Unidades,Unidades,1082,1082,1082
22SERVG08P1083,ALBENDAZOL 25 % CO * 20 ML,1083,UNIDAD,ANTIPARASITARIOS,GANADERIA,LABORATORIOS SERVINSUMOS S.A,7920.987654,6416,,,0,19,7707007402761,MILILITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN  * 20ML,ALBENDAZOL 25%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // SUSPENSIÓN  * 20ML,sin iva,Unidades,Unidades,1083,1083,1083
22SERVG08P1084,ALBENDAZOL 25 % CO * 200 ML,1084,UNIDAD,ANTIPARASITARIOS,GANADERIA,LABORATORIOS SERVINSUMOS S.A,1.234567901,1,,,0,19,7707007402747,MILILITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN * 200ML,ALBENDAZOL 25%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // SUSPENSIÓN * 200ML,sin iva,Unidades,Unidades,1084,1084,1084
22SERVG08P1085,ALBENDAZOL 25 % CO * 500 ML,1085,UNIDAD,ANTIPARASITARIOS,GANADERIA,LABORATORIOS SERVINSUMOS S.A,1.23,1,,,0,19,7707007402730,MILILITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN * 500ML,ALBENDAZOL 25%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // SUSPENSIÓN * 500ML,sin iva,Unidades,Unidades,1085,1085,1085
22SERVG08P1086,ALBENDAZOL 25 % CO * LITRO,1086,UNIDAD,ANTIPARASITARIOS,GANADERIA,LABORATORIOS SERVINSUMOS S.A,1.234567901,1,,,0,19,7707007402723,LITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN * LITRO,ALBENDAZOL 25%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,LITROS // SUSPENSIÓN * LITRO,sin iva,Unidades,Unidades,1086,1086,1086
24LZOOG16P1557,ALERNEX CJA * 10 TABS,1557,UNIDAD,ESPECIALIDADES MEDICAS,MASCOTAS,LABORATORIOS ZOO S.A.S.,0,0,,,0,18.3,24LZOOG16P1557,TABLETA,ANTIHISTAMINICO,MASCOTAS,TABLETAS * 10,CLORFENIRAMINA MALEATO,ESPECIALIDADES MEDICAS / ANTIHISTAMINICO,TABLETA // TABLETAS * 10,sin iva,Unidades,Unidades,1557,1557,1557
24LZOOG16P1558,ALERNEX CJA * 30 TABS,1558,UNIDAD,ESPECIALIDADES MEDICAS,MASCOTAS,LABORATORIOS ZOO S.A.S.,26377,21550,,,0,18.3,24LZOOG16P155,TABLETA,ANTIHISTAMINICO,MASCOTAS,TABLETAS * 30,CLORFENIRAMINA MALEATO,ESPECIALIDADES MEDICAS / ANTIHISTAMINICO,TABLETA // TABLETAS * 30,sin iva,Unidades,Unidades,1558,1558,1558
29VECOG16P2198,ALERVEC * 10 ML,2198,UNIDAD,ESPECIALIDADES MEDICAS,GANADERIA,VECOL S.A.,0,0,,,0,20,29VECOG16P2198,MILILITROS,ANTIHISTAMINICO,GANADERIA,INYECTABLE * 10ML,DIFENHIDRAMINA CLORHIDRATO,ESPECIALIDADES MEDICAS / ANTIHISTAMINICO,MILILITROS // INYECTABLE * 10ML,sin iva,Unidades,Unidades,2198,2198,2198
29VECOG16P2199,ALERVEC * 50 ML,2199,UNIDAD,ESPECIALIDADES MEDICAS,GANADERIA,VECOL S.A.,0,0,,,0,20,29VECOG16P2199,MILILITROS,ANTIHISTAMINICO,GANADERIA,INYECTABLE * 50ML,DIFENHIDRAMINA CLORHIDRATO,ESPECIALIDADES MEDICAS / ANTIHISTAMINICO,MILILITROS // INYECTABLE * 50ML,sin iva,Unidades,Unidades,2199,2199,2199
24LZOOG14P1559,ALFA 3 SUSP. * 250 ML,1559,UNIDAD,DERMATOLOGICOS,GANADERIA,LABORATORIOS ZOO S.A.S.,38556,31500,,,0,18.3,24LZOOG14P155,MILILITROS,DERMATOLOGICOS,GANADERIA,CREMA * 250ML,OXIDO DE ZINC- ACEITE DE PINO- ACIDO FENICO ,DERMATOLOGICOS / DERMATOLOGICOS,MILILITROS // CREMA * 250ML,sin iva,Unidades,Unidades,1559,1559,1559
24LZOOG14P1560,ALFA 3 SUSP. * 30 ML,1560,UNIDAD,DERMATOLOGICOS,GANADERIA,LABORATORIOS ZOO S.A.S.,11261,9200,,,0,18.3,24LZOOG14P156,MILILITROS,DERMATOLOGICOS,GANADERIA,CREMA * 30ML,OXIDO DE ZINC- ACEITE DE PINO- ACIDO FENICO ,DERMATOLOGICOS / DERMATOLOGICOS,MILILITROS // CREMA * 30ML,sin iva,Unidades,Unidades,1560,1560,1560
37INSMG21P2731,ALMOHAZA OVAL CAUCHO,2731,UNIDAD,INSUMOS PECUARIOS,EQUINOS,INSMEVET S EN C,0,0,,,19,20,37INSMG21P2731,UNIDAD,INSUMO,EQUINOS,UNIDAD,NO APLICA,INSUMOS PECUARIOS / INSUMO,UNIDAD // UNIDAD,IVA Ventas 19%,Unidades,Unidades,2731,2731,2731
29VECOG27P2200,ALZER PETS * 150 ML,2200,UNIDAD,SUPLEMENTOS ALIMENTICIOS,MASCOTAS,VECOL S.A.,0,70641,,,5,19.3,29VECOG27P220,MILILITROS,SUPLEMENTOS ALMENTICIOS,MASCOTAS,SUSPENSIÓN * 150ML,GINKO BILOBA- AMINOA- AC LIPOICO- LETINA DE SOLLA- SODIO- POTASIO,SUPLEMENTOS ALIMENTICIOS / SUPLEMENTOS ALMENTICIOS,MILILITROS // SUSPENSIÓN * 150ML,IVA Ventas 5%,Unidades,Unidades,2200,2200,2200
21PROVG29P1001,AMIGO CALCIO * 60 TAB,1001,UNIDAD,VITAMINAS Y MINERALES,MASCOTAS,LABORATORIOS PROVET S.A.S,1.219512195,19800,,,5,18,21PROVG29P1001,TABLETA,MULTIVITAMINICO,MASCOTAS,TABLETAS * 60,VITA B1- B6- D3- C- CALCIO- FOSFORO,VITAMINAS Y MINERALES / MULTIVITAMINICO,TABLETA // TABLETAS * 60,IVA Ventas 5%,Unidades,Unidades,1001,1001,1001
21PROVG29P1002,AMIGO FLEX * 60 TAB,1002,UNIDAD,VITAMINAS Y MINERALES,MASCOTAS,LABORATORIOS PROVET S.A.S,0,0,,,5,18,21PROVG29P1002,TABLETA,MULTIVITAMINICO,MASCOTAS,TABLETAS * 60,GLUCOSAMINA- CONDROITIN SULFATO- METILSULFONILMETANO- ACIDO HIALURONICO,VITAMINAS Y MINERALES / MULTIVITAMINICO,TABLETA // TABLETAS * 60,IVA Ventas 5%,Unidades,Unidades,1002,1002,1002
21PROVG29P1003,AMIGO FRESH SOBRE * 5 GR,1003,UNIDAD,VITAMINAS Y MINERALES,MASCOTAS,LABORATORIOS PROVET S.A.S,4268.292683,3500,,,0,18,7706358088624,GRAMOS,SOLUCIONES,MASCOTAS,POLVO * 5GR,POTASIO- SODIO- ZINC- GLICINA- MANGANESO- MALTRODEXTRINA,VITAMINAS Y MINERALES / SOLUCIONES,GRAMOS // POLVO * 5GR,sin iva,Unidades,Unidades,1003,1003,1003
21PROVG29P1004,AMIGO GATOS * 60 TAB,1004,UNIDAD,VITAMINAS Y MINERALES,MASCOTAS,LABORATORIOS PROVET S.A.S,0,0,,,5,18,21PROVG29P1004,TABLETA,MULTIVITAMINICO,MASCOTAS,TABLETAS * 60,VITA A- B1- B2- B6- B12- B5- D3- E- CALCIO- HIERRO- FOSFORO- AMINOA,VITAMINAS Y MINERALES / MULTIVITAMINICO,TABLETA // TABLETAS * 60,IVA Ventas 5%,Unidades,Unidades,1004,1004,1004
21PROVG29P1005,AMIGO VITA Y MIN * 60 TAB,1005,UNIDAD,VITAMINAS Y MINERALES,MASCOTAS,LABORATORIOS PROVET S.A.S,0,0,,,5,18,21PROVG29P1005,TABLETA,MULTIVITAMINICO,MASCOTAS,TABLETAS * 60,VITA A-  B1- B2- B5- B6- B12- D3- E- CALCIO- METIONINA- LISINA- FOSFORO,VITAMINAS Y MINERALES / MULTIVITAMINICO,TABLETA // TABLETAS * 60,IVA Ventas 5%,Unidades,Unidades,1005,1005,1005
36BIOSG29P0004,AMINO IMPULSOR ORAL * 1000 ML,4,UNIDAD,VITAMINAS Y MINERALES,GANADERIA,BIOSTAR PHARMACEUTICAL S.A.,0,0,,,0,21,36BIOSG29P0004,LITROS,MULTIVITAMINICO,GANADERIA,1000 ML,VITA B1- B2-B3- B6- B9- D3- MINERALES- AMINOA- ATP,VITAMINAS Y MINERALES / MULTIVITAMINICO,LITROS // 1000 ML,sin iva,Unidades,Unidades,4,4,4
36BIOSG29P0006,AMINO IMPULSOR ORAL * 500 ML,6,UNIDAD,VITAMINAS Y MINERALES,GANADERIA,BIOSTAR PHARMACEUTICAL S.A.,0,0,,,0,21,36BIOSG29P0006,MILILITRO,MULTIVITAMINICO,GANADERIA,500 ML,VITA B1- B2-B3- B6- B9- D3- MINERALES- AMINOA- ATP,VITAMINAS Y MINERALES / MULTIVITAMINICO,MILILITRO // 500 ML,sin iva,Unidades,Unidades,6,6,6
16INVEG29P1866,AMINOLYTE * 500 ML,1866,UNIDAD,VITAMINAS Y MINERALES,GANADERIA,INVET SA,24771,20238,,,0,18.3,16INVEG29P1866,MILILITROS,MULTIVITAMINICO,GANADERIA,INYECTABLE * 500ML,VITA B1- B2- B3- B5- B6- B12- AMINOA- SODIO-CALCIO-POTASIO- MAGNESIO- GLUTAMATO- DEXTROSA,VITAMINAS Y MINERALES / MULTIVITAMINICO,MILILITROS // INYECTABLE * 500ML,sin iva,Unidades,Unidades,1866,1866,1866
30VETLG29P2015,AMINOTONIC * 500 ML,2015,UNIDAD,VITAMINAS Y MINERALES,GANADERIA,VET LAT COLOMBIA S.A.S.,26879.24016,19810,,,0,26.3,30VETLG29P2015,MILILITROS,MULTIVITAMINICO,GANADERIA,INYECTABLE * 500ML,VITA B1- B2- B3- B6- B12- AMINOA- SODIO-CALCIO-POTASIO- MAGNESIO- DEXTROSA,VITAMINAS Y MINERALES / MULTIVITAMINICO,MILILITROS // INYECTABLE * 500ML,sin iva,Unidades,Unidades,2015,2015,2015
56AGROG09P4021,"AMITRAZ AGROZ 12,5% * 33 ML",4021,UNIDAD,ANTIPARASITARIOS,GANADERIA,AGROQUIMICOS ARROCEROS DE COLOMBIA SA,0,0,,,0,20.3,56AGROG09P4021,,ANTIPARASITARIO,GANADERIA,,"AMITRAZ 12,5%",ANTIPARASITARIOS / ANTIPARASITARIO, // ,sin iva,Unidades,Unidades,4021,4021,4021
56AGROG09P4022,"AMITRAZ AGROZ 20,8% * 100 ML",4022,UNIDAD,ANTIPARASITARIOS,GANADERIA,AGROQUIMICOS ARROCEROS DE COLOMBIA SA,15464,12325,,,0,20.3,56AGROG09P4022,,ANTIPARASITARIO,GANADERIA,,"AMITRAZ 20,8%",ANTIPARASITARIOS / ANTIPARASITARIO, // ,sin iva,Unidades,Unidades,4022,4022,4022
56AGROG09P4023,"AMITRAZ AGROZ 20,8% * 500 ML",4023,UNIDAD,ANTIPARASITARIOS,GANADERIA,AGROQUIMICOS ARROCEROS DE COLOMBIA SA,0,0,,,0,20.3,56AGROG09P4023,,ANTIPARASITARIO,GANADERIA,,"AMITRAZ 20,8%",ANTIPARASITARIOS / ANTIPARASITARIO, // ,sin iva,Unidades,Unidades,4023,4023,4023
56AGROG08P4024,"AMITRAZ AGROZ 20,8% * LITRO",4024,UNIDAD,ANTIPARASITARIOS,GANADERIA,AGROQUIMICOS ARROCEROS DE COLOMBIA SA,0,0,,,0,20.3,56AGROG08P4024,,ANTIPARASITARIO,GANADERIA,,"AMITRAZ 20,8%",ANTIPARASITARIOS / ANTIPARASITARIO, // ,sin iva,Unidades,Unidades,4024,4024,4024
56AGROG08P4020,AMITRAZ AGROZ 20.8% * 20 ML,4020,UNIDAD,ANTIPARASITARIOS,GANADERIA,AGROQUIMICOS ARROCEROS DE COLOMBIA SA,5819,4638,,,0,20.3,56AGROG08P4020,,ANTIPARASITARIO,GANADERIA,,NO APLICA,ANTIPARASITARIOS / ANTIPARASITARIO, // ,sin iva,Unidades,Unidades,4020,4020,4020
56AGROG08P4019,AMITRAZ AGROZ 3% * 50 ML,4019,UNIDAD,ANTIPARASITARIOS,GANADERIA,AGROQUIMICOS ARROCEROS DE COLOMBIA SA,11516,9178,,,0,20.3,56AGROG08P4019,,ANTIPARASITARIO,GANADERIA,,AMITRAZ 3%,ANTIPARASITARIOS / ANTIPARASITARIO, // ,sin iva,Unidades,Unidades,4019,4019,4019
20ERMAG08P1666,AMITRAZ ERMA 12.5% * 33 ML,1666,UNIDAD,ANTIPARASITARIOS,GANADERIA,LABORATORIOS ERMA S.A.,0,0,,,0,19.3,20ERMAG08P1666,MILILITROS,ANTIPARASITARIO,GANADERIA,FRASCO * 33ML,NO APLICA,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // FRASCO * 33ML,sin iva,Unidades,Unidades,1666,1666,1666
20ERMAG08P1667,AMITRAZ ERMA 12.5% * LT,1667,UNIDAD,ANTIPARASITARIOS,GANADERIA,LABORATORIOS ERMA S.A.,0,0,,,0,19.3,20ERMAG08P1667,LITROS,ANTIPARASITARIO,GANADERIA,FRASCO * LITRO,NO APLICA,ANTIPARASITARIOS / ANTIPARASITARIO,LITROS // FRASCO * LITRO,sin iva,Unidades,Unidades,1667,1667,1667
31VICAG08P1235,AMITRAZ VICAR 12.5% * 120 ML,1235,UNIDAD,ANTIPARASITARIOS,GANADERIA,VICAR FARMACEUTICA S.A.,0,0,,,0,18,31VICAG08P1235,MILILITROS,ANTIPARASITARIO,GANADERIA,FRASCO * 120ML,NO APLICA,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // FRASCO * 120ML,sin iva,Unidades,Unidades,1235,1235,1235
31VICAG08P1236,AMITRAZ VICAR 12.5% * 33 ML,1236,UNIDAD,ANTIPARASITARIOS,GANADERIA,VICAR FARMACEUTICA S.A.,7120.731707,5839,,,0,18,31VICAG08P1236,MILILITROS,ANTIPARASITARIO,GANADERIA,FRASCO * 33ML,NO APLICA,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // FRASCO * 33ML,sin iva,Unidades,Unidades,1236,1236,1236
31VICAG08P1237,AMITRAZ VICAR 12.5% * 500 ML,1237,UNIDAD,ANTIPARASITARIOS,GANADERIA,VICAR FARMACEUTICA S.A.,0,0,,,0,18,31VICAG08P1237,MILILITROS,ANTIPARASITARIO,GANADERIA,FRASCO * 500ML,NO APLICA,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // FRASCO * 500ML,sin iva,Unidades,Unidades,1237,1237,1237
30VETLG07P2016,AMOX C CAJA * 30 TABLETAS,2016,UNIDAD,ANTIMICROBIANOS,MASCOTAS,VET LAT COLOMBIA S.A.S.,0,11616,,,0,26.3,30VETLG07P201,TABLETA,ANTIBIOTICO,MASCOTAS,TABLETAS * 30,AMOXICILINA- ACIDO CLAVULANICO,ANTIMICROBIANOS / ANTIBIOTICO,TABLETA // TABLETAS * 30,sin iva,Unidades,Unidades,2016,2016,2016
22SERVG08P1087,AMPRODIAR * 25 GR,1087,UNIDAD,ANTIPARASITARIOS,GANADERIA,LABORATORIOS SERVINSUMOS S.A,1.234567901,1,,,0,19,7707007406035,GRAMOS,ANTIPARASITARIO,GANADERIA,POLVO * 25GR,AMPROLIO,ANTIPARASITARIOS / ANTIPARASITARIO,GRAMOS // POLVO * 25GR,sin iva,Unidades,Unidades,1087,1087,1087
