Código,Descripción,Referencia,Ud Medida,Grupo,Udad de Negocio,Proveedor,Ult Precio,Ult Costo,Precio Elite,Precio publico,%IVA,Margen,Codigo de barra,Diseño,Sub-Grupo,LINEA,UNIDAD REFERENCIADA,PRINCIPIO ACTIVO,categoria padre-hijo,descripcion (Notas Internas)
37INSMG20P2729,AGUJA SUTURA CURVA GRANDE ISAVET,2729,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,19,0,37INSMG20P2729,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD
37INSMG20P2730,AGUJA SUTURA CURVA PEQUEÑA ISAVET,2730,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,19,0,37INSMG20P2730,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD
52FLETE,AJUSTE LOGISTICO,FLETE,UNIDAD,,,,1000,0.01,,,0,0,52FLETE,,,,,NO APLICA, / , // 
20ERMAG14P1665,ALAPIEL CREMA * 35 GR,1665,UNIDAD,DERMATOLOGICOS,MASCOTAS,LABORATORIOS ERMA S.A.,16471,13292.31,,,0,19.3,20ERMAG14P166,GRAMOS,DERMATOLOGICOS,MASCOTAS,CREMA * 35GR,CLOTRIMAZOL- NEOMICINA- BETAMETASONA,DERMATOLOGICOS / DERMATOLOGICOS,GRAMOS // CREMA * 35GR
12CELLG08P2403,ALBENDACELLS 20% CO * 15 ML,2403,UNIDAD,ANTIPARASITARIOS,GANADERIA,CELLS FARMACEUTICA,0,0,,,0,20,12CELLG08P2403,MILILITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN * 15ML,ALBENDAZOL 20%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // SUSPENSIÓN * 15ML
12CELLG08P2404,ALBENDACELLS 20% CO * 250 ML,2404,UNIDAD,ANTIPARASITARIOS,GANADERIA,CELLS FARMACEUTICA,0,0,,,0,20,12CELLG08P2404,MILILITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN * 250ML,ALBENDAZOL 20%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // SUSPENSIÓN * 250ML
23LAVMG08P2322,ALBENDAVEM 25% COBALTO * 100 ML,2322,UNIDAD,ANTIPARASITARIOS,GANADERIA,LABORATORIOS V.M. LTDA.,0,0,,,0,20,23LAVMG08P2322,MILILITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN * 100ML,ALBENDAZOL 25%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // SUSPENSIÓN * 100ML
23LAVMG08P2323,ALBENDAVEM 25% COBALTO * 500 ML,2323,UNIDAD,ANTIPARASITARIOS,GANADERIA,LABORATORIOS V.M. LTDA.,0,0,,,0,20,23LAVMG08P2323,MILILITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN * 500ML,ALBENDAZOL 25%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // SUSPENSIÓN * 500ML
23LAVMG08P2324,ALBENDAVEM 25% COBALTO * LITRO,2324,UNIDAD,ANTIPARASITARIOS,GANADERIA,LABORATORIOS V.M. LTDA.,0,0,,,0,20,23LAVMG08P2324,LITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN * LITRO,ALBENDAZOL 25%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,LITROS // SUSPENSIÓN * LITRO
23LAVMG08P2325,ALBENDAVEM 25% COBALTO JGA * 12 ML,2325,UNIDAD,ANTIPARASITARIOS,GANADERIA,LABORATORIOS V.M. LTDA.,0,0,,,0,20,23LAVMG08P2325,MILILITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN * 12ML,ALBENDAZOL 25%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // SUSPENSIÓN * 12ML
22SERVG08P1081,ALBENDAZOL 25 % CO * 10 ML,1081,UNIDAD,ANTIPARASITARIOS,GANADERIA,LABORATORIOS SERVINSUMOS S.A,4166.148148,3374.58,,,0,19,7707007402792,MILILITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN * 10ML,ALBENDAZOL 25%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // SUSPENSIÓN * 10ML
22SERVG08P1082,ALBENDAZOL 25 % CO * 100 ML,1082,UNIDAD,ANTIPARASITARIOS,GANADERIA,LABORATORIOS SERVINSUMOS S.A,1.234567901,1,,,0,19,7707007402754,MILILITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN * 100ML,ALBENDAZOL 25%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // SUSPENSIÓN * 100ML
22SERVG08P1083,ALBENDAZOL 25 % CO * 20 ML,1083,UNIDAD,ANTIPARASITARIOS,GANADERIA,LABORATORIOS SERVINSUMOS S.A,7920.987654,6416,,,0,19,7707007402761,MILILITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN  * 20ML,ALBENDAZOL 25%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // SUSPENSIÓN  * 20ML
22SERVG08P1084,ALBENDAZOL 25 % CO * 200 ML,1084,UNIDAD,ANTIPARASITARIOS,GANADERIA,LABORATORIOS SERVINSUMOS S.A,1.234567901,1,,,0,19,7707007402747,MILILITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN * 200ML,ALBENDAZOL 25%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // SUSPENSIÓN * 200ML
22SERVG08P1085,ALBENDAZOL 25 % CO * 500 ML,1085,UNIDAD,ANTIPARASITARIOS,GANADERIA,LABORATORIOS SERVINSUMOS S.A,1.23,1,,,0,19,7707007402730,MILILITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN * 500ML,ALBENDAZOL 25%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,MILILITROS // SUSPENSIÓN * 500ML
22SERVG08P1086,ALBENDAZOL 25 % CO * LITRO,1086,UNIDAD,ANTIPARASITARIOS,GANADERIA,LABORATORIOS SERVINSUMOS S.A,1.234567901,1,,,0,19,7707007402723,LITROS,ANTIPARASITARIO,GANADERIA,SUSPENSIÓN * LITRO,ALBENDAZOL 25%- COBALTO,ANTIPARASITARIOS / ANTIPARASITARIO,LITROS // SUSPENSIÓN * LITRO
13CALIG04P2558,ALER-CAF 10 MG CAJA * 10 TAB,2558,UNIDAD,ANTIINFLAMATORIOS-ANALGESICOS,MASCOTAS,COMPAÑIA CALIFORNIA,10108.93513,8259,,,0,18.3,7707115301017,TABLETA,ANTIHISTAMINICO,MASCOTAS,TABLETAS * 10,CETIRIZINA,ANTIINFLAMATORIOS-ANALGESICOS / ANTIHISTAMINICO,TABLETA // TABLETAS * 10
24LZOOG16P1557,ALERNEX CJA * 10 TABS,1557,UNIDAD,ESPECIALIDADES MEDICAS,MASCOTAS,LABORATORIOS ZOO S.A.S.,0,0,,,0,18.3,24LZOOG16P1557,TABLETA,ANTIHISTAMINICO,MASCOTAS,TABLETAS * 10,CLORFENIRAMINA MALEATO,ESPECIALIDADES MEDICAS / ANTIHISTAMINICO,TABLETA // TABLETAS * 10
24LZOOG16P1558,ALERNEX CJA * 30 TABS,1558,UNIDAD,ESPECIALIDADES MEDICAS,MASCOTAS,LABORATORIOS ZOO S.A.S.,26377,21550,,,0,18.3,24LZOOG16P155,TABLETA,ANTIHISTAMINICO,MASCOTAS,TABLETAS * 30,CLORFENIRAMINA MALEATO,ESPECIALIDADES MEDICAS / ANTIHISTAMINICO,TABLETA // TABLETAS * 30
29VECOG16P2198,ALERVEC * 10 ML,2198,UNIDAD,ESPECIALIDADES MEDICAS,GANADERIA,VECOL S.A.,0,0,,,0,20,29VECOG16P2198,MILILITROS,ANTIHISTAMINICO,GANADERIA,INYECTABLE * 10ML,DIFENHIDRAMINA CLORHIDRATO,ESPECIALIDADES MEDICAS / ANTIHISTAMINICO,MILILITROS // INYECTABLE * 10ML
29VECOG16P2199,ALERVEC * 50 ML,2199,UNIDAD,ESPECIALIDADES MEDICAS,GANADERIA,VECOL S.A.,0,0,,,0,20,29VECOG16P2199,MILILITROS,ANTIHISTAMINICO,GANADERIA,INYECTABLE * 50ML,DIFENHIDRAMINA CLORHIDRATO,ESPECIALIDADES MEDICAS / ANTIHISTAMINICO,MILILITROS // INYECTABLE * 50ML
24LZOOG14P1559,ALFA 3 SUSP. * 250 ML,1559,UNIDAD,DERMATOLOGICOS,GANADERIA,LABORATORIOS ZOO S.A.S.,38556,31500,,,0,18.3,24LZOOG14P155,MILILITROS,DERMATOLOGICOS,GANADERIA,CREMA * 250ML,OXIDO DE ZINC- ACEITE DE PINO- ACIDO FENICO ,DERMATOLOGICOS / DERMATOLOGICOS,MILILITROS // CREMA * 250ML
24LZOOG14P1560,ALFA 3 SUSP. * 30 ML,1560,UNIDAD,DERMATOLOGICOS,GANADERIA,LABORATORIOS ZOO S.A.S.,11261,9200,,,0,18.3,24LZOOG14P156,MILILITROS,DERMATOLOGICOS,GANADERIA,CREMA * 30ML,OXIDO DE ZINC- ACEITE DE PINO- ACIDO FENICO ,DERMATOLOGICOS / DERMATOLOGICOS,MILILITROS // CREMA * 30ML
40COLVG04P2842,ALGICAM PETS INY (MELOXICAM) INY * 20 ML,2842,UNIDAD,ANTIINFLAMATORIOS-ANALGESICOS,MASCOTAS,LABORATORIO COLOMBIANO DE VETERINARIA S.A,25646,20260,,,0,21,40COLVG04P2842,UNIDAD,AINES,MASCOTAS,FRASCO * 20ML,NO APLICA,ANTIINFLAMATORIOS-ANALGESICOS / AINES,UNIDAD // FRASCO * 20ML
32VIRBG19P2455,ALIZIN * 10 ML,2455,UNIDAD,HORMONALES,MASCOTAS,COOPERATIVA DE GANADEROS DEL CENTRO,169165.659,139900,,,0,17.3,32VIRBG19P2455,MILILITROS,HORMONALES,MASCOTAS,INYECTABLE * 10ML,AGLEPRISTONE 30MG,HORMONALES / HORMONALES,MILILITROS // INYECTABLE * 10ML
37INSMG21P2731,ALMOHAZA OVAL CAUCHO,2731,UNIDAD,INSUMOS PECUARIOS,EQUINOS,INSMEVET S EN C,0,0,,,19,20,37INSMG21P2731,UNIDAD,INSUMO,EQUINOS,UNIDAD,NO APLICA,INSUMOS PECUARIOS / INSUMO,UNIDAD // UNIDAD
29VECOG27P2200,ALZER PETS * 150 ML,2200,UNIDAD,SUPLEMENTOS ALIMENTICIOS,MASCOTAS,VECOL S.A.,0,70641,,,5,19.3,29VECOG27P220,MILILITROS,SUPLEMENTOS ALMENTICIOS,MASCOTAS,SUSPENSIÓN * 150ML,GINKO BILOBA- AMINOA- AC LIPOICO- LETINA DE SOLLA- SODIO- POTASIO,SUPLEMENTOS ALIMENTICIOS / SUPLEMENTOS ALMENTICIOS,MILILITROS // SUSPENSIÓN * 150ML
21PROVG29P1001,AMIGO CALCIO * 60 TAB,1001,UNIDAD,VITAMINAS Y MINERALES,MASCOTAS,LABORATORIOS PROVET S.A.S,1.219512195,19800,,,5,18,21PROVG29P1001,TABLETA,MULTIVITAMINICO,MASCOTAS,TABLETAS * 60,VITA B1- B6- D3- C- CALCIO- FOSFORO,VITAMINAS Y MINERALES / MULTIVITAMINICO,TABLETA // TABLETAS * 60
21PROVG29P1002,AMIGO FLEX * 60 TAB,1002,UNIDAD,VITAMINAS Y MINERALES,MASCOTAS,LABORATORIOS PROVET S.A.S,0,0,,,5,18,21PROVG29P1002,TABLETA,MULTIVITAMINICO,MASCOTAS,TABLETAS * 60,GLUCOSAMINA- CONDROITIN SULFATO- METILSULFONILMETANO- ACIDO HIALURONICO,VITAMINAS Y MINERALES / MULTIVITAMINICO,TABLETA // TABLETAS * 60
21PROVG29P1003,AMIGO FRESH SOBRE * 5 GR,1003,UNIDAD,VITAMINAS Y MINERALES,MASCOTAS,LABORATORIOS PROVET S.A.S,4268.292683,3500,,,0,18,7706358088624,GRAMOS,SOLUCIONES,MASCOTAS,POLVO * 5GR,POTASIO- SODIO- ZINC- GLICINA- MANGANESO- MALTRODEXTRINA,VITAMINAS Y MINERALES / SOLUCIONES,GRAMOS // POLVO * 5GR
21PROVG29P1004,AMIGO GATOS * 60 TAB,1004,UNIDAD,VITAMINAS Y MINERALES,MASCOTAS,LABORATORIOS PROVET S.A.S,0,0,,,5,18,21PROVG29P1004,TABLETA,MULTIVITAMINICO,MASCOTAS,TABLETAS * 60,VITA A- B1- B2- B6- B12- B5- D3- E- CALCIO- HIERRO- FOSFORO- AMINOA,VITAMINAS Y MINERALES / MULTIVITAMINICO,TABLETA // TABLETAS * 60
21PROVG29P1005,AMIGO VITA Y MIN * 60 TAB,1005,UNIDAD,VITAMINAS Y MINERALES,MASCOTAS,LABORATORIOS PROVET S.A.S,0,0,,,5,18,21PROVG29P1005,TABLETA,MULTIVITAMINICO,MASCOTAS,TABLETAS * 60,VITA A-  B1- B2- B5- B6- B12- D3- E- CALCIO- METIONINA- LISINA- FOSFORO,VITAMINAS Y MINERALES / MULTIVITAMINICO,TABLETA // TABLETAS * 60
27PROCG29P1808,AMINELEC-B * 500 ML,1808,UNIDAD,VITAMINAS Y MINERALES,GANADERIA,PROCONVET SA,0,0,,,0,20.3,27PROCG29P1808,MILILITROS,MULTIVITAMINICO,GANADERIA,INYECTABLE * 500ML,VITA B1- B2- B3- B5- B12- POTASIO- SODIO- MAGNESIO- METIONINA- DEXTROSA ,VITAMINAS Y MINERALES / MULTIVITAMINICO,MILILITROS // INYECTABLE * 500ML
26PHARG27P2127,AMINO 5 * 1000 GR,2127,UNIDAD,SUPLEMENTOS ALIMENTICIOS,MASCOTAS,PHARVET S.A.S,0,0,,,0,20,26PHARG27P2127,GRAMOS,SUPLEMENTOS ALMENTICIOS,MASCOTAS,POLVO * 1000GR,"AMINOA LEUCINA, VALINA, ISOLEU, GLUTAMI, CARNITINA",SUPLEMENTOS ALIMENTICIOS / SUPLEMENTOS ALMENTICIOS,GRAMOS // POLVO * 1000GR
36BIOSG29P0002,AMINO IMPULSOR FRASCO * 20 ML,2,UNIDAD,VITAMINAS Y MINERALES,MASCOTAS,BIOSTAR PHARMACEUTICAL S.A.,14646.83544,11571,,,0,21,36BIOSG29P0002,MILILITRO,MULTIVITAMINICO,MASCOTAS,,NO APLICA,VITAMINAS Y MINERALES / MULTIVITAMINICO,MILILITRO // 
36BIOSG27P0001,AMINO IMPULSOR FRASCO * 50 ML,1,UNIDAD,SUPLEMENTOS ALIMENTICIOS,MASCOTAS,BIOSTAR PHARMACEUTICAL S.A.,28751.89873,22714,,,0,21,7707327442492,MILILITRO,SUPLEMENTOS ALMENTICIOS,MASCOTAS,,NO APLICA,SUPLEMENTOS ALIMENTICIOS / SUPLEMENTOS ALMENTICIOS,MILILITRO // 
36BIOSG29P0003,AMINO IMPULSOR ORAL * 100 ML,2,UNIDAD,VITAMINAS Y MINERALES,MASCOTAS,BIOSTAR PHARMACEUTICAL S.A.,0,0,,,0,21,36BIOSG29P0003,MILILITRO,MULTIVITAMINICO,MASCOTAS,100ML,VITA B1- B2-B3- B6- B9- D3- MINERALES- AMINOA- ATP,VITAMINAS Y MINERALES / MULTIVITAMINICO,MILILITRO // 100ML
36BIOSG29P0004,AMINO IMPULSOR ORAL * 1000 ML,4,UNIDAD,VITAMINAS Y MINERALES,GANADERIA,BIOSTAR PHARMACEUTICAL S.A.,0,0,,,0,21,36BIOSG29P0004,LITROS,MULTIVITAMINICO,GANADERIA,1000 ML,VITA B1- B2-B3- B6- B9- D3- MINERALES- AMINOA- ATP,VITAMINAS Y MINERALES / MULTIVITAMINICO,LITROS // 1000 ML
36BIOSG29P0006,AMINO IMPULSOR ORAL * 500 ML,6,UNIDAD,VITAMINAS Y MINERALES,GANADERIA,BIOSTAR PHARMACEUTICAL S.A.,0,0,,,0,21,36BIOSG29P0006,MILILITRO,MULTIVITAMINICO,GANADERIA,500 ML,VITA B1- B2-B3- B6- B9- D3- MINERALES- AMINOA- ATP,VITAMINAS Y MINERALES / MULTIVITAMINICO,MILILITRO // 500 ML
16INVEG29P1865,AMINOLYTE * 250 ML,1865,UNIDAD,VITAMINAS Y MINERALES,GANADERIA,INVET SA,17651,14421,,,0,18.3,16INVEG29P186,MILILITROS,MULTIVITAMINICO,GANADERIA,INYECTABLE * 250ML,VITA B1- B2- B3- B5- B6- B12- AMINOA- SODIO-CALCIO-POTASIO- MAGNESIO- GLUTAMATO- DEXTROSA,VITAMINAS Y MINERALES / MULTIVITAMINICO,MILILITROS // INYECTABLE * 250ML
16INVEG29P1866,AMINOLYTE * 500 ML,1866,UNIDAD,VITAMINAS Y MINERALES,GANADERIA,INVET SA,24771,20238,,,0,18.3,16INVEG29P1866,MILILITROS,MULTIVITAMINICO,GANADERIA,INYECTABLE * 500ML,VITA B1- B2- B3- B5- B6- B12- AMINOA- SODIO-CALCIO-POTASIO- MAGNESIO- GLUTAMATO- DEXTROSA,VITAMINAS Y MINERALES / MULTIVITAMINICO,MILILITROS // INYECTABLE * 500ML
30VETLG29P2015,AMINOTONIC * 500 ML,2015,UNIDAD,VITAMINAS Y MINERALES,GANADERIA,VET LAT COLOMBIA S.A.S.,26879.24016,19810,,,0,26.3,30VETLG29P2015,MILILITROS,MULTIVITAMINICO,GANADERIA,INYECTABLE * 500ML,VITA B1- B2- B3- B6- B12- AMINOA- SODIO-CALCIO-POTASIO- MAGNESIO- DEXTROSA,VITAMINAS Y MINERALES / MULTIVITAMINICO,MILILITROS // INYECTABLE * 500ML
56AGROG09P4021,"AMITRAZ AGROZ 12,5% * 33 ML",4021,UNIDAD,ANTIPARASITARIOS,GANADERIA,AGROQUIMICOS ARROCEROS DE COLOMBIA SA,0,0,,,0,20.3,56AGROG09P4021,,ANTIPARASITARIO,GANADERIA,,"AMITRAZ 12,5%",ANTIPARASITARIOS / ANTIPARASITARIO, // 
56AGROG09P4022,"AMITRAZ AGROZ 20,8% * 100 ML",4022,UNIDAD,ANTIPARASITARIOS,GANADERIA,AGROQUIMICOS ARROCEROS DE COLOMBIA SA,15464,12325,,,0,20.3,56AGROG09P4022,,ANTIPARASITARIO,GANADERIA,,"AMITRAZ 20,8%",ANTIPARASITARIOS / ANTIPARASITARIO, // 
56AGROG09P4023,"AMITRAZ AGROZ 20,8% * 500 ML",4023,UNIDAD,ANTIPARASITARIOS,GANADERIA,AGROQUIMICOS ARROCEROS DE COLOMBIA SA,0,0,,,0,20.3,56AGROG09P4023,,ANTIPARASITARIO,GANADERIA,,"AMITRAZ 20,8%",ANTIPARASITARIOS / ANTIPARASITARIO, // 
56AGROG08P4024,"AMITRAZ AGROZ 20,8% * LITRO",4024,UNIDAD,ANTIPARASITARIOS,GANADERIA,AGROQUIMICOS ARROCEROS DE COLOMBIA SA,0,0,,,0,20.3,56AGROG08P4024,,ANTIPARASITARIO,GANADERIA,,"AMITRAZ 20,8%",ANTIPARASITARIOS / ANTIPARASITARIO, // 
56AGROG08P4020,AMITRAZ AGROZ 20.8% * 20 ML,4020,UNIDAD,ANTIPARASITARIOS,GANADERIA,AGROQUIMICOS ARROCEROS DE COLOMBIA SA,5819,4638,,,0,20.3,56AGROG08P4020,,ANTIPARASITARIO,GANADERIA,,NO APLICA,ANTIPARASITARIOS / ANTIPARASITARIO, // 
